"시점","행정구역(시군구)별",총인구수 (명)
"2009","서울특별시",10208302
"2009","부산광역시",3543030
"2009","대구광역시",2489781
"2009","인천광역시",2710579
"2009","광주광역시",1433640
"2009","대전광역시",1484180
"2009","울산광역시",1114866
"2009","세종특별자치시",-
"2009","경기도",11460610
"2009","강원도",1512870
"2009","충청북도",1527478
"2009","충청남도",2037582
"2009","전라북도",1854508
"2009","전라남도",1913004
"2009","경상북도",2669876
"2009","경상남도",3250176
"2009","제주특별자치도",562663
"2010","서울특별시",10312545
"2010","부산광역시",3567910
"2010","대구광역시",2511676
"2010","인천광역시",2758296
"2010","광주광역시",1454636
"2010","대전광역시",1503664
"2010","울산광역시",1126298
"2010","세종특별자치시",-
"2010","경기도",11786622
"2010","강원도",1529818
"2010","충청북도",1549528
"2010","충청남도",2075514
"2010","전라북도",1868963
"2010","전라남도",1918485
"2010","경상북도",2689920
"2010","경상남도",3290536
"2010","제주특별자치도",571255
"2011","서울특별시",10249679
"2011","부산광역시",3550963
"2011","대구광역시",2507271
"2011","인천광역시",2801274
"2011","광주광역시",1463464
"2011","대전광역시",1515603
"2011","울산광역시",1135494
"2011","세종특별자치시",-
"2011","경기도",11937415
"2011","강원도",1536448
"2011","충청북도",1562903
"2011","충청남도",2101284
"2011","전라북도",1874031
"2011","전라남도",1914339
"2011","경상북도",2699195
"2011","경상남도",3308765
"2011","제주특별자치도",576156
"2012","서울특별시",10195318
"2012","부산광역시",3538484
"2012","대구광역시",2505644
"2012","인천광역시",2843981
"2012","광주광역시",1469216
"2012","대전광역시",1524583
"2012","울산광역시",1147256
"2012","세종특별자치시",113117
"2012","경기도",12093299
"2012","강원도",1538630
"2012","충청북도",1565628
"2012","충청남도",2028777
"2012","전라북도",1873341
"2012","전라남도",1909618
"2012","경상북도",2698353
"2012","경상남도",3319314
"2012","제주특별자치도",583713
"2013","서울특별시",10143645
"2013","부산광역시",3527635
"2013","대구광역시",2501588
"2013","인천광역시",2879782
"2013","광주광역시",1472910
"2013","대전광역시",1532811
"2013","울산광역시",1156480
"2013","세종특별자치시",122153
"2013","경기도",12234630
"2013","강원도",1542263
"2013","충청북도",1572732
"2013","충청남도",2047631
"2013","전라북도",1872965
"2013","전라남도",1907172
"2013","경상북도",2699440
"2013","경상남도",3333820
"2013","제주특별자치도",593806
"2014","서울특별시",10103233
"2014","부산광역시",3519401
"2014","대구광역시",2493264
"2014","인천광역시",2902608
"2014","광주광역시",1475884
"2014","대전광역시",1531809
"2014","울산광역시",1166377
"2014","세종특별자치시",156125
"2014","경기도",12357830
"2014","강원도",1544442
"2014","충청북도",1578933
"2014","충청남도",2062273
"2014","전라북도",1871560
"2014","전라남도",1905780
"2014","경상북도",2700794
"2014","경상남도",3350257
"2014","제주특별자치도",607346
"2015","서울특별시",10022181
"2015","부산광역시",3513777
"2015","대구광역시",2487829
"2015","인천광역시",2925815
"2015","광주광역시",1472199
"2015","대전광역시",1518775
"2015","울산광역시",1173534
"2015","세종특별자치시",210884
"2015","경기도",12522606
"2015","강원도",1549507
"2015","충청북도",1583952
"2015","충청남도",2077649
"2015","전라북도",1869711
"2015","전라남도",1908996
"2015","경상북도",2702826
"2015","경상남도",3364702
"2015","제주특별자치도",624395
"2016","서울특별시",9930616
"2016","부산광역시",3498529
"2016","대구광역시",2484557
"2016","인천광역시",2943069
"2016","광주광역시",1469214
"2016","대전광역시",1514370
"2016","울산광역시",1172304
"2016","세종특별자치시",243048
"2016","경기도",12716780
"2016","강원도",1550806
"2016","충청북도",1591625
"2016","충청남도",2096727
"2016","전라북도",1864791
"2016","전라남도",1903914
"2016","경상북도",2700398
"2016","경상남도",3373871
"2016","제주특별자치도",641597
"2017","서울특별시",9857426
"2017","부산광역시",3470653
"2017","대구광역시",2475231
"2017","인천광역시",2948542
"2017","광주광역시",1463770
"2017","대전광역시",1502227
"2017","울산광역시",1165132
"2017","세종특별자치시",280100
"2017","경기도",12873895
"2017","강원도",1550142
